french,russian
Samedi , суббота
Dimanche , воскресенье
Janvier , январь
Février , февраль
Mars , март
Avril , апрель
Mai , май
Juin , июнь
Juillet , июль
Août , август
Septembre , сентябрь
Octobre , октябрь
Novembre , ноябрь
Décembre , декабрь
le printemps , весна
l'été , лето
l'automne , осень
l'hiver , зима
le nom ," имя, фамилия"
l'adresse , адрес
le numéro , номер
l'anniversaire , день рождения
marié(e) , женатый (замужняя)
le stylo , ручка
le livre , книга
les échecs , шахматы
le téléphone , телефон
l'horloge , часы
le peigne , расчёска
le téléviseur , телевизор
le fer , утюг; железо
le savon , мыло
la radio , radio
le sac , сумка
la carte , карта; открытка
la valise , чемодан
le cadeau , подарок
la caméra , камера
l'ordinateur , компьютер
le film , фильм
la fleur , цветок
le vase , ваза
l'image , картина
le mouchoir , носовой платок
la balle , мяч
le ballon , воздушный шар(ик)
le jouet , игрушка
l'addition ," счёт (в ресторане), (итоговая) сумма"
l'enveloppe , конверт
le papier , бумага
le journal , газета
la lettre , письмо
le billet , билет
la chaussures , обувь
le manteau , пальто
la robe , платье
la chemise , рубашка
la jupe , юбка
le gant , перчатка
le chapeau , шляпа
la veste ," пиджак, куртка"
l'écharpe , шарф
las chaussettes , носки
le pull , свитер
 le T-shirt , футболка
la cravate , галстук
le pantalon , брюки
que , что
quel , какой
qui , кто
où ," где, куда"
d'ou , откуда
comment , как
pourquoi , почему
quand , когда
je , я
tu , ты
il , он
elle , она
nous , мы
vous , вы
"ils, elles ", они
mon , мой
ton , твой
son ," его, её"
notre , наш
votre , ваш
leur , их
de ," из, от; передает род. падеж"
à , к
sur , на
sous , под
derrière , позади
avec , с
sans , без
avant , перед; до
entre , между
en , в
près de , возле
après , после
pour , для
un , один
deux , два
trois , три
quatre , четыре
cinq , пять
six , шесть
sept , семь
huit , восемь
neuf , девять
dix , десять
onze , одиннадцать
douze , двенадцать
treize , тринадцать
quatorze , четырнадцать
quinze , пятнадцать
seize , шестнадцать
dix-sept , семнадцать
dix-huit , восемнадцать
dix-neuf , девятнадцать
vingt , двадцать
trente , тридцать
quarante , сорок
cinquante , пятьдесят
soixante , шестьдесят
quatre-vingts , восемьдесят
quatre-vingt-dix , девяносто
cent , сто
mille , тысяча
vieux , старый
jeune , молодой
nouveau , новый
grand , большой
petit , маленький
plein , полный
bon , хороший
mauvais , плохой
tôt , ранний
tard , поздний
dernier ," последний, прошлый"
suivant , следующий
gratuit , бесплатный
libre , свободный
chaud , жаркий; горячий
chaud , тёплый
froid , холодный
haut , высокий
bas , низкий
long ," длинный, долгий"
facile , лёгкий
lourd , тяжёлый
sombre , тёмный
cher , дорогой
pas cher , дешёвый
gauche , левый
droit , справа
correct , правильный
rapide , быстрый
lentement , медленный
doux , мягкий
dur ," твёрдый, крепкий, трудный"
belle , красивый
attentivement , внимательный
triste , печальный
heureux ," радостный, счастливый"
fini , готовый
en colère , сердитый
principal ," основной, главный"
noir , чёрный
bleu , голубой; синий
brun , коричневый
vert , зелёный
gris , серый
rouge , красный
blanc , белы
jaune , жёлтый
oui , да
non , нет
ne pas , не
cet ," этот, тот"
ici ," здесь, сюда"
là ," там, туда"
maintenant ," сейчас, теперь"
déjà , уже
encore , еще
beaucoup (de) , много
peu (de) , мало
très , очень
chaque , каждый
tout , все
tous , всё
tel , вской
et , и
ou , или
parce que ," потому что, так как"
être ," быть, являться"
avoir , иметь
pouvoir , мочь
devoir , быть должным
besoin , быть должным (внутренние причины)
avoir besoin de ," нуждаться, нужно"
devenir , становиться
vivre , жить
venir ," приходить, приезжать"
aller ," идти, ехать"
conduire ," вести (машину), отвозить"
voir , видеть
être assis , сидеть
dire , сказать
parler , разговаривать
se tenir (debout) , стоять
travailler , работать
casser , ломать
faire , делать
envoyer , посылать
acheter , покупать
nager , плавать
dormir , спать
réveiller , будить
laver ," мыть, cтирать"
essayer ," пытаться, пробовать"
trouver , находить
apporter ," приносить, привозить"
célébrer , праздновать
sourire , улыбаться
pleurer , плакать
coûter , стоить
apprendre , учиться
enseigner , обучать
écrire , писать
changer , менять
tomber , падать
écouter , слушать
montrer , показывать
gagner , побеждать
penser , думать
fermer , закрывать
ouvrir , открывать
savoir , знать
connaître , быть знакомым
chanter , петь
danser , танцевать
demander , спрашивать
recueillir , собирать
aimer , любить
dessiner , рисовать
choisir, выбирать
vouloir , хотеть
manger , кушать
boire , пить
donner , давать
cuire , печь
cuisinier , готовить (еду)
couper , резать
prendre , брать
attendre , ждать
lire , читать
jouer , играть
répondre , отвечать
Bonjour , Здравствуй(те). Добрый день.
Merci , Спасибо
Pardon , Извини(те)
S'il vous plaît , Пожалуйста (прошу)
De rien , Пожалуйста (Не за что)
Quel dommage , Как жаль
Au revoir , до свидания
la chanson , песня
la musique , музыка
la fête ," вечеринка, праздник"
la taille , размер
l'argent , деньги
la chance ," удача, шанс"
la blague , шутка
la surprise , сюрприз
le problème , проблема
la faim  , голод
la pluie , дождь
le vent , ветер
la neige , снег
le ciel , небо
abasourdir,"оглушать, ошеломлять"
accueillir,"встречать, приветствовать"
ananas,ананас
anticonstitutionnellement,"неконституционно, антиконституционно"
aujourd’hui,сегодня
autochton,"коренной житель, туземец"
bouilloire,"чайник, кипятильник"
carrousel,карусель
coquelicot,дикий мак (цветок)
 dépaysement,перемена обстановки
 entendre,"слышать, слушать, выслушивать"
 enthousiasme,"воодушевление, восторг, энтузиазм"
 exsangue,"бескровный, бледный, малокровный"
 fond,«дно воздуха» (не имеет дословного перевода) Означает сильный холод не по сезону.
 gabegie,"неразбериха, путаница, беспорядок"
 gageure,"пари, заклад, вызов"
 genèse,"генезис, происхождение"
 groin,"рыло, морда"
 l’esprit,"«задняя мысль» (нет дословного перевода) Мысль, которая пришла к вам в голову уже после того, как её было бы уместно озвучить. Например, уже после окончания спора или разговора."
 magnat,"магнат, воротила"
 mille-feuille,пирожное
 oignon,"лук, луковица"
 prestidigitateur,"фокусник, иллюзионист"
 pugnace,"драчливый, боевой, боеспособный"
 quincaillerie,"метиз, скобяной товар"
 retrouvailles,"«встреча после разлуки» (нет дословного перевода) Означает радость, испытываемую от встречи после долгой разлуки с человеком или с любыми местами."
 rébellion,"восстание, мятеж"
 serrurerie,"слесарное дело, мастерская"
 sillage,"(нет дословного перевода) Аромат, задержавшийся в воздухе; след, оставленный на воде; произведённое кем-то впечатление; что-то, что «задержалось» в пространстве."
 statisticien,статистик
